"scenario","simple_difference","rebar_x1","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"opposite",-0.269598126971821,-0.791528195168149,-0.0878731946404819,-0.0650210569436886,-0.0639101223334091,-0.0666297742335858,0,-0.269598126971821,-0.181724932331339,1.15449968409739,1.14796028141717,0.0988153535778274,0.553186505511548,0.369907238475859,-0.453310024604559,-0.0330389041542849,0.215591755610405,0.547619047619048,168,832,0.168,336,168,664,664,12
"aligned",0.449542940994683,-0.0147250102787505,0.185678826356663,0.105230152394027,0.247502471546046,0.187102099679322,0,0.449542940994683,0.26386411463802,1.13972382210032,1.14883862014595,0.0890628648161276,0.815623300438355,0.362731321574259,0.386077203691524,-0.0534382647902895,0.0699267358147223,0.491228070175439,171,829,0.171,342,171,658,658,13
"unrelated",0.104050499762653,-0.393179234211112,0.12913126600059,0.10735076449578,0.114749726217452,0.111368458815954,0,0.104050499762653,-0.0250807662379366,1.17734538786837,1.14585640105856,0.078695759701235,0.599588471614281,0.353672610555697,-0.00659030175537149,0.410417719022886,0.196283184631256,0.578651685393258,178,822,0.178,356,178,644,644,13
"opposite",-0.0144837122038711,-0.292369489320439,0.112003318602056,0.119844837176721,0.0917207286588581,0.0932884213413157,0,-0.0144837122038711,-0.126487030805927,1.0572995050691,1.27151549374965,0.0904196876467039,0.624566497877779,0.344621209141429,-0.357128073976971,-0.110818743417091,0.198908363566951,0.573099415204678,171,829,0.171,342,171,658,658,13
"aligned",0.45969721399034,-0.139946811088379,0.250745958048427,0.0861346050235738,0.210756740698505,0.162991454458741,0,0.45969721399034,0.208951255941913,1.33016277894751,1.11617098655069,0.105817671942043,0.622677698084783,0.293304520460199,0.466252034158908,-0.013737619031397,0.166120898113867,0.477272727272727,176,824,0.176,352,176,648,648,14
"unrelated",0.107088839673524,-0.29011751433516,0.0771002732124424,0.0175968123036667,0.0881438143298147,0.0681173492542555,0,0.107088839673524,0.0299885664610812,1.30844971613315,1.2331068221628,0.0948414738414804,0.683278519021792,0.377917177306687,0.0785216111659085,0.471910905305362,0.108087505313823,0.515957446808511,188,812,0.188,376,188,624,624,14
"opposite",-0.155389615301672,-0.626295212500831,-0.00730277555671763,0.0540643197617948,-0.0158944250944003,-0.0183115553320611,0,-0.155389615301672,-0.148086839744955,1.17543015648572,1.2820757676343,0.0746060842335068,0.458690105376883,0.298925489313675,-0.428080265201392,0.0395956377046169,0.0348377231874193,0.513368983957219,187,813,0.187,374,187,626,626,14
"aligned",0.618341572880875,-0.0588270410965451,0.229974704961631,0.232249459363436,0.404150244898731,0.338637896673485,0,0.618341572880875,0.388366867919244,1.1879390938248,1.12457640563719,0.0631255892537566,0.677157282192162,0.282372346407348,0.353684001397528,0.0560417785328825,0.171866498522866,0.466666666666667,165,835,0.165,330,165,670,670,15
"unrelated",-0.094218196128984,-0.737121191436858,-0.0878552013001651,-0.193740917493803,-0.0962336699443991,-0.110193970411268,0,-0.094218196128984,-0.00636299482881891,1.17336324629819,1.14472461416031,0.105590445864763,0.484315147723815,0.426985136708837,-0.057478491217792,0.512075188943104,0.108621742550941,0.50828729281768,181,819,0.181,362,181,638,638,15
"opposite",-0.217637260604274,-0.741552910751721,-0.0180864091288219,0.0636179930863416,0.0120954619969879,0.0103446779315044,0,-0.217637260604274,-0.199550851475452,1.15969198790832,1.10585957686026,0.0908265915630408,0.492348901834394,0.411816968552802,-0.44235999825794,0.208906566141007,0.107045484888798,0.453551912568306,183,817,0.183,366,183,634,634,15
